"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23475","checkRunNode","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNode"
"","24269","checkRunNodeFour","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFour"
"","21588","checkRunNodeThree","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeThree"
"","22629","checkRunNodeOne","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeOne"
"","25797","checkRunNodeZero","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeZero"
"","20378","checkRunNodeSeven","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSeven"
"","24277","checkRunNodeTwo","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeTwo"
"","24149","checkRunNodeSix","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeSix"
"","21476","checkRunNodeFive","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeFive"
"","20747","checkRunNodeNine","Surefire suite","2026-08-22","failed","2026-08-22","tests.LoginTest","Surefire test","tests.LoginTest","checkRunNodeNine"
